Complexity,Learning Rate,Difficulty,Link,Topics
8,1,All Levels,https://www.udemy.com/course/artificial-intelligence-az/,AI
8,3,All Levels,https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/,Data Science
8,2,Intermediate,https://www.udacity.com//course/data-analyst-nanodegree--nd002,Data Analytics
8,5,All Levels,https://www.udemy.com/course/what-is-data-science-r/,Data Science
8,7,All Levels,https://www.udemy.com/course/datadrivenscience-machinelearning/,Machine Learning
8,4,Intermediate,https://www.udemy.com/course/introduction-to-data-science-basics/,Data Science
8,6,All Levels,https://www.udemy.com/course/learn-data-science-deep-learning-machine-learning-nlp-r/,Deep Learning
7,8,Beginner,https://www.udemy.com/course/python-introduction-to-data-science/,Data Science
8,9,All Levels,https://www.udemy.com/course/complete-data-wrangling-data-visualisation-with-python/,Data Science
8,4,All Levels,https://www.udemy.com/course/full-stack-data-science-course/,Data Science
8,3,All Levels,https://www.udemy.com/course/learn-data-science/,Data Science
8,2,Beginner,https://www.udemy.com/course/introduction-to-data-science-with-python-for-beginners/,Data Science
8,5,Beginner,https://www.udemy.com/course/the-data-analyst-bootcamp/,Data Analytics
8,6,All Levels,https://www.udemy.com/course/data-science-beginners-guide-to-the-command-line/,Data Science
8,7,All Levels,https://www.udemy.com/course/learn-datascience-statistics-machinelearning-nlp-python/,Data Science
8,8,Intermediate,https://www.udemy.com/course/numpy-course/,Python Basics
8,3,All Levels,https://www.udemy.com/course/python4ds/,Python Basics
9,4,All Levels,https://www.udemy.com/course/professional-certificate-in-data-science/,Data Science
8,6,All Levels,https://www.udemy.com/course/data-science-project-management-methodology-crisp-dm/,Data Science
8,3,Beginner,https://www.udemy.com/course/careers-in-data-science-a-ztm/,Data Science
8,8,Beginner,https://www.udemy.com/course/intro-to-data-science/,Data Science
8,2,Beginner,https://www.udemy.com/course/hands-on-machine-learning-without-writing-code/,Machine Learning
8,7,Intermediate,https://www.udemy.com/course/python-sql-tableau-integrating-python-sql-and-tableau/,Python Basics
9,8,Beginner,https://www.udemy.com/course/data-science-and-machine-learning-with-python-hands-on/,Data Science
8,9,All Levels,https://www.udemy.com/course/r-programming-for-statistics-and-data-science/,Data Science
